"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,Description,CensusTract,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 179,8.196721311,8.196721311,,8.196721311,,8.196721311,8.196721311,16.39344262,8.196721311,16.39344262,16.39344262,,,,8.196721311,8.196721311,24.59016393,8.196721311,16.39344262,8.196721311
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 180,69.76744186,,,23.25581395,,46.51162791,34.88372093,,23.25581395,11.62790698,,,,,23.25581395,,11.62790698,34.88372093,11.62790698,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 181,70.42253521,70.42253521,70.42253521,56.33802817,70.42253521,28.16901408,28.16901408,28.16901408,14.08450704,28.16901408,28.16901408,14.08450704,42.25352113,56.33802817,56.33802817,70.42253521,70.42253521,28.16901408,70.42253521,14.08450704
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 182,30.6122449,,10.20408163,20.40816327,,30.6122449,10.20408163,20.40816327,20.40816327,,10.20408163,,20.40816327,10.20408163,30.6122449,51.02040816,10.20408163,,,20.40816327
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 183,42.85714286,57.14285714,28.57142857,42.85714286,57.14285714,28.57142857,42.85714286,100,14.28571429,85.71428571,28.57142857,14.28571429,14.28571429,14.28571429,42.85714286,28.57142857,85.71428571,28.57142857,14.28571429,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 184,12.82051282,25.64102564,25.64102564,12.82051282,,,38.46153846,12.82051282,,38.46153846,,12.82051282,12.82051282,51.28205128,25.64102564,12.82051282,38.46153846,,,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 185.01,,30.3030303,30.3030303,,,,30.3030303,,,,30.3030303,30.3030303,60.60606061,60.60606061,90.90909091,90.90909091,30.3030303,60.60606061,60.60606061,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 185.02,,,,,103.4482759,34.48275862,34.48275862,,103.4482759,,68.96551724,68.96551724,34.48275862,68.96551724,68.96551724,310.3448276,68.96551724,68.96551724,172.4137931,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 186,27.02702703,13.51351351,13.51351351,27.02702703,,,,13.51351351,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 187,54.79452055,41.09589041,27.39726027,41.09589041,13.69863014,41.09589041,41.09589041,68.49315068,13.69863014,54.79452055,95.89041096,27.39726027,27.39726027,27.39726027,82.19178082,54.79452055,95.89041096,95.89041096,27.39726027,13.69863014
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 188,11.62790698,11.62790698,23.25581395,11.62790698,11.62790698,23.25581395,,,,,11.62790698,,,23.25581395,11.62790698,,11.62790698,34.88372093,11.62790698,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 190,12.19512195,36.58536585,,12.19512195,24.3902439,24.3902439,,24.3902439,,,12.19512195,12.19512195,,24.3902439,36.58536585,12.19512195,12.19512195,24.3902439,,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 191,59.52380952,47.61904762,23.80952381,83.33333333,23.80952381,83.33333333,95.23809524,119.047619,71.42857143,83.33333333,35.71428571,35.71428571,35.71428571,35.71428571,130.952381,47.61904762,35.71428571,35.71428571,11.9047619,23.80952381
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 192,,12.19512195,12.19512195,24.3902439,,12.19512195,12.19512195,,,12.19512195,12.19512195,,12.19512195,24.3902439,24.3902439,24.3902439,85.36585366,12.19512195,48.7804878,24.3902439
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 193,,,,,,200,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 194,37.03703704,12.34567901,,,,24.69135802,24.69135802,12.34567901,12.34567901,24.69135802,12.34567901,24.69135802,24.69135802,,,12.34567901,37.03703704,37.03703704,12.34567901,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 195,33.89830508,50.84745763,50.84745763,16.94915254,,,16.94915254,,16.94915254,,,16.94915254,,16.94915254,,16.94915254,33.89830508,,50.84745763,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 196,12.04819277,24.09638554,,36.14457831,,,24.09638554,,,24.09638554,,12.04819277,,12.04819277,,12.04819277,12.04819277,,,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 197,53.57142857,53.57142857,,89.28571429,89.28571429,53.57142857,35.71428571,17.85714286,17.85714286,53.57142857,35.71428571,35.71428571,89.28571429,17.85714286,53.57142857,125,71.42857143,107.1428571,71.42857143,17.85714286
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 198,,,14.49275362,14.49275362,14.49275362,14.49275362,28.98550725,,,28.98550725,14.49275362,,14.49275362,,,,,14.49275362,14.49275362,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 199,93.33333333,26.66666667,53.33333333,26.66666667,13.33333333,53.33333333,40,80,26.66666667,26.66666667,40,80,40,53.33333333,40,40,26.66666667,40,93.33333333,13.33333333
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 200,,14.92537313,,,,,,14.92537313,,,,,,,29.85074627,14.92537313,104.4776119,29.85074627,14.92537313,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 201,58.13953488,58.13953488,81.39534884,46.51162791,58.13953488,11.62790698,93.02325581,69.76744186,,69.76744186,81.39534884,11.62790698,46.51162791,46.51162791,46.51162791,34.88372093,58.13953488,81.39534884,11.62790698,23.25581395
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 202,,,,,,,,13.51351351,13.51351351,,,,13.51351351,,,,,,,13.51351351
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 203,10.1010101,10.1010101,20.2020202,,20.2020202,40.4040404,10.1010101,30.3030303,20.2020202,20.2020202,40.4040404,20.2020202,40.4040404,30.3030303,40.4040404,40.4040404,30.3030303,30.3030303,80.80808081,10.1010101
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 204,12.82051282,12.82051282,,,,12.82051282,,,,,,,,12.82051282,12.82051282,12.82051282,12.82051282,12.82051282,12.82051282,12.82051282
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 205,12.98701299,25.97402597,,25.97402597,12.98701299,,25.97402597,12.98701299,25.97402597,25.97402597,38.96103896,25.97402597,12.98701299,12.98701299,25.97402597,12.98701299,25.97402597,12.98701299,38.96103896,12.98701299
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 206,,,22.98850575,,11.49425287,,11.49425287,,,,,,,11.49425287,,,22.98850575,11.49425287,11.49425287,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 207,32.25806452,21.50537634,,10.75268817,32.25806452,21.50537634,10.75268817,,,43.01075269,21.50537634,21.50537634,,53.76344086,53.76344086,10.75268817,43.01075269,21.50537634,21.50537634,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 208,,,25,12.5,37.5,12.5,,,,12.5,,,12.5,,,12.5,37.5,37.5,,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 210,,12.04819277,,24.09638554,12.04819277,,,12.04819277,,12.04819277,,12.04819277,12.04819277,,12.04819277,,12.04819277,12.04819277,,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 212,22.47191011,44.94382022,,,11.23595506,,11.23595506,22.47191011,,11.23595506,11.23595506,11.23595506,,,,11.23595506,11.23595506,,11.23595506,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 213,111.1111111,111.1111111,,,,,,,,,,,,111.1111111,,,,111.1111111,222.2222222,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 214,,,13.15789474,,,13.15789474,,,,,13.15789474,,,,,13.15789474,26.31578947,78.94736842,,13.15789474
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 215,,,,,,,,,,,,,,,,,,,,142.8571429
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 216,38.46153846,,12.82051282,25.64102564,,25.64102564,38.46153846,12.82051282,25.64102564,12.82051282,12.82051282,,,38.46153846,38.46153846,12.82051282,115.3846154,141.025641,38.46153846,12.82051282
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 217,,32.25806452,32.25806452,32.25806452,32.25806452,32.25806452,32.25806452,,96.77419355,32.25806452,96.77419355,161.2903226,96.77419355,,64.51612903,64.51612903,96.77419355,32.25806452,96.77419355,32.25806452
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 218,63.29113924,37.97468354,12.65822785,,12.65822785,12.65822785,37.97468354,25.3164557,,12.65822785,12.65822785,12.65822785,12.65822785,12.65822785,37.97468354,50.63291139,126.5822785,139.2405063,63.29113924,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 219,11.49425287,22.98850575,22.98850575,68.96551724,22.98850575,68.96551724,11.49425287,68.96551724,103.4482759,22.98850575,68.96551724,68.96551724,34.48275862,80.45977011,57.47126437,34.48275862,45.97701149,45.97701149,45.97701149,34.48275862
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 220,40.54054054,27.02702703,13.51351351,27.02702703,,13.51351351,,,,13.51351351,27.02702703,,,,,13.51351351,67.56756757,121.6216216,27.02702703,13.51351351
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 221,25.97402597,142.8571429,51.94805195,129.8701299,142.8571429,103.8961039,155.8441558,116.8831169,25.97402597,116.8831169,103.8961039,103.8961039,77.92207792,38.96103896,168.8311688,155.8441558,103.8961039,103.8961039,51.94805195,38.96103896
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 222,72.28915663,48.19277108,24.09638554,36.14457831,24.09638554,12.04819277,36.14457831,72.28915663,12.04819277,24.09638554,12.04819277,12.04819277,,12.04819277,60.24096386,24.09638554,96.38554217,108.4337349,12.04819277,24.09638554
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 223,14.08450704,42.25352113,42.25352113,28.16901408,14.08450704,14.08450704,70.42253521,14.08450704,56.33802817,84.50704225,56.33802817,28.16901408,28.16901408,84.50704225,84.50704225,56.33802817,98.5915493,56.33802817,56.33802817,28.16901408
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 224,12.5,,37.5,25,12.5,,25,12.5,25,12.5,12.5,,12.5,50,12.5,50,175,125,100,25
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 225,80,40,40,,40,80,40,160,80,120,240,200,40,160,120,40,80,40,40,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 226,15.625,15.625,31.25,,,,,15.625,31.25,,,,15.625,,15.625,31.25,78.125,62.5,62.5,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 227,68.18181818,56.81818182,22.72727273,45.45454545,90.90909091,113.6363636,113.6363636,68.18181818,79.54545455,113.6363636,113.6363636,90.90909091,45.45454545,79.54545455,159.0909091,113.6363636,102.2727273,125,68.18181818,34.09090909
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 228,15.38461538,,15.38461538,30.76923077,46.15384615,15.38461538,15.38461538,,,15.38461538,,15.38461538,15.38461538,15.38461538,15.38461538,61.53846154,61.53846154,30.76923077,30.76923077,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 229,55.55555556,33.33333333,11.11111111,55.55555556,111.1111111,122.2222222,77.77777778,77.77777778,166.6666667,122.2222222,77.77777778,155.5555556,144.4444444,144.4444444,200,122.2222222,177.7777778,233.3333333,111.1111111,55.55555556
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 230,12.65822785,,12.65822785,50.63291139,37.97468354,12.65822785,12.65822785,12.65822785,,12.65822785,,,12.65822785,,,25.3164557,75.94936709,50.63291139,50.63291139,12.65822785
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 231,24.09638554,60.24096386,24.09638554,60.24096386,60.24096386,48.19277108,96.38554217,72.28915663,72.28915663,120.4819277,72.28915663,48.19277108,48.19277108,120.4819277,108.4337349,120.4819277,84.3373494,108.4337349,24.09638554,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 232,42.85714286,14.28571429,57.14285714,14.28571429,42.85714286,28.57142857,14.28571429,42.85714286,,28.57142857,,,,,28.57142857,71.42857143,128.5714286,157.1428571,100,28.57142857
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 233,27.39726027,82.19178082,41.09589041,68.49315068,109.5890411,136.9863014,109.5890411,95.89041096,82.19178082,109.5890411,82.19178082,123.2876712,109.5890411,68.49315068,123.2876712,164.3835616,205.4794521,123.2876712,164.3835616,13.69863014
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 234,13.33333333,,26.66666667,26.66666667,,13.33333333,26.66666667,,,13.33333333,26.66666667,,13.33333333,26.66666667,,13.33333333,40,13.33333333,13.33333333,13.33333333
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 235,29.41176471,14.70588235,14.70588235,29.41176471,73.52941176,58.82352941,14.70588235,14.70588235,44.11764706,44.11764706,,14.70588235,14.70588235,14.70588235,44.11764706,14.70588235,176.4705882,44.11764706,,29.41176471
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 236,,,,,,15.38461538,15.38461538,,,15.38461538,30.76923077,,,15.38461538,,,15.38461538,76.92307692,30.76923077,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 237,16.94915254,16.94915254,,33.89830508,50.84745763,67.79661017,50.84745763,33.89830508,33.89830508,33.89830508,33.89830508,,,16.94915254,33.89830508,16.94915254,84.74576271,67.79661017,84.74576271,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 238,25.97402597,12.98701299,38.96103896,12.98701299,25.97402597,25.97402597,,38.96103896,,,12.98701299,,,,,,25.97402597,12.98701299,25.97402597,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 239,,,,,,133.3333333,66.66666667,,66.66666667,66.66666667,66.66666667,,66.66666667,,66.66666667,266.6666667,200,66.66666667,200,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 240,36.58536585,36.58536585,36.58536585,60.97560976,12.19512195,12.19512195,36.58536585,36.58536585,12.19512195,12.19512195,,24.3902439,12.19512195,24.3902439,,24.3902439,48.7804878,73.17073171,48.7804878,12.19512195
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 241,50.63291139,25.3164557,25.3164557,50.63291139,75.94936709,75.94936709,37.97468354,63.29113924,12.65822785,25.3164557,37.97468354,37.97468354,63.29113924,37.97468354,139.2405063,101.2658228,139.2405063,101.2658228,88.60759494,25.3164557
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 242,11.49425287,11.49425287,34.48275862,22.98850575,,,,,34.48275862,,,11.49425287,,,11.49425287,,45.97701149,11.49425287,11.49425287,22.98850575
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 243,73.39449541,36.69724771,119.266055,64.22018349,100.9174312,146.7889908,146.7889908,201.8348624,82.56880734,155.9633028,100.9174312,146.7889908,110.0917431,211.0091743,155.9633028,266.0550459,229.3577982,146.7889908,229.3577982,55.04587156
